College_Name,College_Code,Established_Year,Latitude,Longitude,Place,District,Type
S S V DEGREE COLLEGE,21,,17.137048,81.958802,GANDEPALLI               ,E.G.Dt,Private
PRATHIBHA SOWJANYA DEGREE COLLEGE,22,2011,16.734446,82.045539,GANGAVARAM K            ,E.G.Dt,Private
B S R DEGREE COLLEGE ,23,2006,17.263189,81.848076,GOKAVARAM              ,E.G.Dt,Private
K V S DEGREE COLLEGE ,24,2006,17.256384,81.848648,GOKAVARAM               ,E.G.Dt,Private
SRI GOWTHAMI DEGREE COLLEGE,334,2005,17.103837,81.541169,GOPALAPURAM,E.G.Dt,Private
KONDAVEETI DEGREE COLLEGE ,404,2014,17.103381,81.540734,GOPALAPURAM,W.G.Dt,Private
SMT. SAKUNTHALA DEVI DEGREE COLLEGE ,28,2001,,,I POLAVARAM          ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,30,2008,17.170909,82.058773,JAGGAMPETA  ,E.G.Dt,Private
P E S DEGREE COLLEGE,31,1994,,,JAGGAMPETA  ,E.G.Dt,Private
C.S.T.S. GOVT. KALASALA,336,1974,17.131974,81.289778,JANGAREDDIGUDEM,W.G.Dt,Private
NOVA DEGREE COLLEGE ,337,2002,17.132371,81.24391,JANGAREDDIGUDEM,W.G.Dt,Private
PRIYADARSHINI DEGREE COLLEGE,338,1997,17.12213,81.294764,JANGAREDDIGUDEM,W.G.Dt,Private
SURYA DEGREE COLLEGE FOR WOMEN,340,2002,,,JANGAREDDIGUDEM,W.G.Dt,Private
TRIVENI DEGREE COLLEGE ,341,1998,,,JANGAREDDIGUDEM,W.G.Dt,Private
DR. MADDI GOPALA KRISHNA REDDY DEGREE COLLEGE,344,1996,,,JANGAREDDIGUDEM,W.G.Dt,Private
SRI RAMACHANDRA DEGREE COLLEGE ,339,2009,17.115302,81.296932,JANGAREDDIGUDEM,W.G.Dt,Private
VIVEKANANDA DEGREE COLLEGE,405,2014,,,JANGAREDDIGUDEM,W.G.Dt,Private
SHANKARI DEGREE COLLEGE,406,2014,,,JANGAREDDIGUDEM,W.G.Dt,Private
P S N MURTHY DEGREE COLLEGE ,26,2007,16.853725,82.172993,KAJULURU     ,E.G.Dt,Private
S. D. V. R. R. DEGREE COLLEGE ,51,1993,16.755277,82.151207,KAJULURU               ,E.G.Dt,Private
A S D GOVT. DEGREE COLLEGE FOR WOMEN,35,1962,16.927398,82.2369261,KAKINADA  ,E.G.Dt,Private
ADARSA DEGREE COLLEGE,36,,16.979607,82.225424,KAKINADA  ,E.G.Dt,Private
ADITYA DEGREE COLLEGE ,37,1998,16.962408,82.244758,KAKINADA  ,E.G.Dt,Private
ADITYA DEGREE COLLEGE FOR WOMEN ,38,2000,16.960858,82.244951,KAKINADA  ,E.G.Dt,Private
CHAITANYA DEGREE COLLEGE ,39,1994,16.98947,82.23463,KAKINADA  ,E.G.Dt,Private
IDEAL COLLEGE OF ARTS AND SCIENCES (AUTONOMOUS),40,1974,16.961755,82.223323,KAKINADA  ,E.G.Dt,Private
M S N DEGREE COLLEGE,41,1971,16.928868,82.233987,KAKINADA  ,E.G.Dt,Private
MOHAN DEGREE COLLEGE,42,2005,17.004106,82.250461,KAKINADA  ,E.G.Dt,Private
P R GOVT. COLLEGE (AUTONOMOUS),43,1984,16.95864,82.229169,KAKINADA  ,E.G.Dt,Private
P. V. R. TRUST DEGREE COLLEGE ,44,1974,16.968094,82.2361,KAKINADA  ,E.G.Dt,Private
PRAGATHI DEGREE COLLEGE ,45,2003,16.987151,82.23816,KAKINADA  ,E.G.Dt,Private
PRAGYNAA DEGREE COLLEGE ,46,2005,16.950776,82.232084,KAKINADA  ,E.G.Dt,Private
RAJIV GANDHI INSTITUTE OF MANAGEMENT & SCIENCE ,47,1991,17.026863,82.238857,KAKINADA  ,E.G.Dt,Private
V. S. L. DEGREE COLLEGE ,48,2005,16.99254,82.241903,KAKINADA  ,E.G.Dt,Private
V. S. LAKSHMI DEGREE COLLEGE FOR WOMEN,49,1993,16.988309,82.256046,KAKINADA  ,E.G.Dt,Private
P S N MURTHY DEGREE COLLEGE,118,2007,16.93014,82.218719,KAKINADA  ,E.G.Dt,Private
ABHYUDAYA DEGREE COLLEGE ,342,2005,17.011925,81.204854,KAMAVARAPUKOTA,W.G.Dt,Private
